Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Sex,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Recidivism Type,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population,Sort Number,Initial Supervision Status,Recidivism Supervision Status
2011,2014,White - Non-Hispanic,,25-34,C Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,493,C Felony,Drug,Trafficking,No,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,495,D Felony,Property,Forgery/Fraud,No,,,
2011,2014,American Indian or Alaska Native - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,498,Aggravated Misdemeanor,Violent,Assault,No,,,
2011,2014,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,498,Aggravated Misdemeanor,Public Order,Alcohol,No,,,
2011,2014,White - Non-Hispanic,,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,5JD,Yes,Parole,498,,,,Yes,,,
2011,2014,White - Non-Hispanic,,45-54,C Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,498,D Felony,Public Order,OWI,No,,,
2011,2014,Black - Non-Hispanic,,Under 25,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,499,Aggravated Misdemeanor,Public Order,Other Public Order,No,,,
2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,500,D Felony,Public Order,Traffic,No,,,
2011,2014,Black - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,502,,,,Yes,,,
2011,2014,White - Non-Hispanic,,35-44,D Felony,Property,Theft,Parole,5JD,Yes,Parole,502,Aggravated Misdemeanor,Violent,Assault,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,502,D Felony,Property,Burglary,No,,,
2011,2014,White - Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,503,,,,Yes,,,
2011,2014,White - Non-Hispanic,,35-44,C Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,505,D Felony,Property,Burglary,No,,,
2011,2014,White - Non-Hispanic,,35-44,D Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,505,D Felony,Property,Theft,No,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Theft,Parole,5JD,Yes,Parole,506,,,,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,510,D Felony,Drug,Drug Possession,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,511,Aggravated Misdemeanor,Drug,Drug Possession,No,,,
2011,2014,White - Non-Hispanic,,35-44,C Felony,Property,Theft,Parole,1JD,Yes,Parole,511,C Felony,Drug,Trafficking,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,511,Felony - Enhancement to Original Penalty,Property,Theft,No,,,
2011,2014,White - Non-Hispanic,,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,6JD,Yes,Parole,511,D Felony,Public Order,OWI,Yes,,,
2011,2014,American Indian or Alaska Native - Non-Hispanic,,35-44,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,Interstate Compact,Yes,Parole,513,D Felony,Drug,Drug Possession,Yes,,,
2011,2014,Black - Non-Hispanic,,35-44,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,513,Aggravated Misdemeanor,Public Order,Traffic,No,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,513,D Felony,Public Order,Traffic,No,,,
2011,2014,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,516,Aggravated Misdemeanor,Violent,Assault,No,,,
2011,2014,Black - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,516,C Felony,Drug,Trafficking,Yes,,,
2011,2014,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,517,D Felony,Drug,Drug Possession,No,,,
2011,2014,White - Non-Hispanic,,Under 25,C Felony,Property,Theft,Parole,6JD,Yes,Parole,517,Aggravated Misdemeanor,Public Order,Other Public Order,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,Parole,519,D Felony,Drug,Drug Possession,Yes,,,
2011,2014,Black - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,520,D Felony,Public Order,OWI,No,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Public Order,Traffic,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,520,C Felony,Property,Theft,No,,,
2011,2014,American Indian or Alaska Native - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Burglary,Parole,7JD,Yes,Parole,520,D Felony,Drug,Trafficking,Yes,,,
2011,2014,White - Non-Hispanic,,45-54,D Felony,Property,Burglary,Parole,5JD,Yes,Parole,521,D Felony,Property,Burglary,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,523,,,,Yes,,,
2011,2014,White - Non-Hispanic,,35-44,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,524,D Felony,Public Order,OWI,No,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,8JD,Yes,Parole,525,,,,Yes,,,
2011,2014,White - Non-Hispanic,,45-54,B Felony,Other,Other Criminal,Parole,Interstate Compact,Yes,Parole,525,,,,No,,,
2011,2014,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,525,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,,,
2011,2014,Black - Non-Hispanic,,Under 25,C Felony,Violent,Other Violent,Parole,1JD,Yes,Parole,526,,,,Yes,,,
2011,2014,Black - Non-Hispanic,,35-44,Aggravated Misdemeanor,Property,Theft,Parole,5JD,Yes,Parole,526,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Burglary,Parole,5JD,Yes,Parole,527,D Felony,Property,Theft,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,527,Aggravated Misdemeanor,Property,Vandalism,No,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,529,,,,No,,,
2011,2014,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,530,D Felony,Public Order,Weapons,No,,,
2011,2014,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,531,C Felony,Drug,Trafficking,No,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Parole,2JD,Yes,Parole,532,D Felony,Drug,Drug Possession,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,8JD,Yes,Parole,532,D Felony,Property,Burglary,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Property,Theft,Parole,7JD,Yes,Parole,532,D Felony,Property,Forgery/Fraud,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,8JD,Yes,Parole,532,,,,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Property,Theft,Parole,2JD,Yes,Parole,533,,,,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Vandalism,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,533,D Felony,Property,Burglary,No,,,
2011,2014,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,534,C Felony,Violent,Assault,No,,,
2011,2014,White - Non-Hispanic,,25-34,B Felony,Violent,Murder/Manslaughter,Parole,8JD,Yes,Parole,535,,,,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Property,Arson,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,536,C Felony,Property,Arson,No,,,
2011,2014,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,537,D Felony,Property,Burglary,No,,,
2011,2014,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,537,D Felony,Property,Forgery/Fraud,No,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Burglary,Parole,1JD,Yes,Parole,538,C Felony,Drug,Trafficking,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,C Felony,Property,Burglary,Parole,4JD,Yes,Parole,539,,,,Yes,,,
2011,2014,White - Hispanic,,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,539,Aggravated Misdemeanor,Public Order,Alcohol,No,,,
2011,2014,White - Non-Hispanic,,35-44,D Felony,Violent,Assault,Parole,8JD,Yes,Parole,539,,,,Yes,,,
2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Parole,1JD,Yes,Parole,540,Aggravated Misdemeanor,Public Order,Alcohol,Yes,,,
2011,2014,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,541,C Felony,Drug,Trafficking,No,,,
2011,2014,Black - Non-Hispanic,,25-34,C Felony,Violent,Sex,Special Sentence,3JD,Yes,Special Sentence,543,,,,Yes,,,
2011,2014,Black - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,Interstate Compact,Yes,Parole,547,C Felony,Property,Burglary,Yes,,,
2011,2014,White - Hispanic,,Under 25,D Felony,Violent,Sex,Special Sentence,5JD,Yes,Special Sentence,549,,,,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,550,C Felony,Drug,Trafficking,No,,,
2011,2014,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,552,Aggravated Misdemeanor,Violent,Assault,Yes,,,
2011,2014,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,553,Aggravated Misdemeanor,Public Order,OWI,No,,,
2011,2014,White - Hispanic,,Under 25,D Felony,Violent,Assault,Parole,5JD,Yes,Parole,553,B Felony,Violent,Murder/Manslaughter,Yes,,,
2011,2014,American Indian or Alaska Native - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,554,D Felony,Public Order,Other Public Order,No,,,
2011,2014,White - Non-Hispanic,,Under 25,D Felony,Public Order,Traffic,Special Sentence,5JD,Yes,Special Sentence,554,,,,Yes,,,
2011,2014,American Indian or Alaska Native - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,7JD,Yes,Parole,555,,,,Yes,,,
2011,2014,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,556,B Felony,Violent,Other Violent,No,,,
2011,2014,White - Non-Hispanic,,45-54,C Felony,Drug,Trafficking,Parole,8JD,Yes,Parole,556,C Felony,Drug,Trafficking,Yes,,,
2011,2014,Black - Non-Hispanic,,45-54,D Felony,Property,Forgery/Fraud,Parole,1JD,Yes,Parole,557,D Felony,Drug,Drug Possession,Yes,,,
2011,2014,White - Non-Hispanic,,35-44,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,5JD,Yes,Parole,558,,,,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,558,D Felony,Public Order,OWI,No,,,
2011,2014,Black - Non-Hispanic,,Under 25,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,1JD,Yes,Parole,559,Aggravated Misdemeanor,Property,Theft,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,560,D Felony,Violent,Assault,Yes,,,
2011,2014,Black - Non-Hispanic,,25-34,C Felony,Violent,Other Violent,Parole,1JD,Yes,Parole,560,Aggravated Misdemeanor,Violent,Assault,Yes,,,
2011,2014,Black - Non-Hispanic,,25-34,D Felony,Property,Burglary,Parole,5JD,Yes,Parole,560,B Felony,Drug,Trafficking,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Violent,Other Violent,Parole,5JD,Yes,Parole,561,D Felony,Property,Burglary,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,561,D Felony,Public Order,Other Public Order,No,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,564,Aggravated Misdemeanor,Property,Theft,No,,,
2011,2014,White - Non-Hispanic,,35-44,C Felony,Violent,Robbery,Parole,5JD,Yes,Parole,565,Serious Misdemeanor,Public Order,Flight/Escape,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,C Felony,Property,Burglary,Parole,6JD,Yes,Parole,566,D Felony,Property,Burglary,Yes,,,
2011,2014,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,8JD,Yes,Parole,572,D Felony,Property,Theft,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,572,C Felony,Property,Theft,No,,,
2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,576,C Felony,Property,Theft,No,,,
2011,2014,White - Non-Hispanic,,45-54,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,578,D Felony,Public Order,OWI,No,,,
2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,5JD,Yes,Parole,579,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,,,
2011,2014,American Indian or Alaska Native - Non-Hispanic,,45-54,D Felony,Property,Forgery/Fraud,Parole,5JD,Yes,Parole,580,D Felony,Property,Forgery/Fraud,Yes,,,
2011,2014,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,580,,,,Yes,,,
2011,2014,White - Non-Hispanic,,55 and Older,D Felony,Public Order,Other Public Order,Parole,7JD,Yes,Parole,581,Aggravated Misdemeanor,Public Order,Alcohol,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,581,Aggravated Misdemeanor,Public Order,Alcohol,No,,,
2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Other,Other Criminal,Special Sentence,5JD,Yes,Special Sentence,582,,,,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,583,C Felony,Property,Burglary,No,,,
2011,2014,White - Non-Hispanic,,35-44,D Felony,Violent,Assault,Parole,2JD,Yes,Parole,584,,,,Yes,,,
2011,2014,Black - Non-Hispanic,,45-54,D Felony,Public Order,Other Public Order,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,584,D Felony,Public Order,Other Public Order,No,,,
2011,2014,White - Non-Hispanic,,35-44,C Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,584,C Felony,Property,Theft,No,,,
2011,2014,Black - Non-Hispanic,,35-44,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,584,Aggravated Misdemeanor,Violent,Assault,No,,,
2011,2014,White - Hispanic,,35-44,D Felony,Public Order,OWI,Parole,1JD,Yes,Parole,585,D Felony,Public Order,OWI,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,585,,,,Yes,,,
2011,2014,Black - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,585,D Felony,Property,Forgery/Fraud,No,,,
2011,2014,White - Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,Interstate Compact,Yes,Parole,586,,,,No,,,
2011,2014,White - Non-Hispanic,,45-54,C Felony,Violent,Robbery,Parole,Interstate Compact,Yes,Parole,588,C Felony,Property,Theft,Yes,,,
2011,2014,Black - Non-Hispanic,,25-34,C Felony,Violent,Assault,Parole,5JD,Yes,Parole,588,,,,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,8JD,Yes,Parole,589,Serious Misdemeanor,Public Order,Flight/Escape,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Theft,Parole,4JD,Yes,Parole,589,D Felony,Property,Vandalism,Yes,,,
2011,2014,Black - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,1JD,Yes,Parole,590,Aggravated Misdemeanor,Property,Theft,Yes,,,
2011,2014,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,593,C Felony,Drug,Trafficking,No,,,
2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,594,C Felony,Violent,Assault,No,,,
2011,2014,Black - Non-Hispanic,,35-44,D Felony,Public Order,Other Public Order,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,594,D Felony,Drug,Trafficking,No,,,
2011,2014,Black - Non-Hispanic,,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,594,Serious Misdemeanor,Violent,Assault,No,,,
2011,2014,Black - Non-Hispanic,,Under 25,C Felony,Violent,Assault,Parole,7JD,Yes,Parole,594,,,,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Sex,Special Sentence,5JD,Yes,Special Sentence,596,,,,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,6JD,Yes,Parole,596,,,,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,598,D Felony,Public Order,Other Public Order,No,,,
2011,2014,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,598,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,,,
2011,2014,Black - Non-Hispanic,,45-54,D Felony,Violent,Assault,Parole,1JD,Yes,Parole,599,D Felony,Violent,Assault,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Theft,Parole,5JD,Yes,Parole,601,D Felony,Public Order,Other Public Order,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,601,,,,No,,,
2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Other Violent,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,602,C Felony,Drug,Trafficking,No,,,
2011,2014,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,602,D Felony,Property,Theft,Yes,,,
2011,2014,White - Non-Hispanic,,45-54,D Felony,Public Order,OWI,Parole,1JD,Yes,Parole,602,B Felony,Drug,Trafficking,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,609,C Felony,Drug,Trafficking,No,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,Special Sentence,Interstate Compact,Yes,Special Sentence,612,,,,Yes,,,
2011,2014,Black - Non-Hispanic,,35-44,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,612,Felony - Enhancement to Original Penalty,Public Order,OWI,No,,,
2011,2014,White - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,1JD,Yes,Parole,613,,,,Yes,,,
2011,2014,White - Hispanic,,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,613,C Felony,Drug,Trafficking,No,,,
2011,2014,Black - Non-Hispanic,,25-34,D Felony,Drug,Drug Possession,Parole,2JD,Yes,Parole,616,Aggravated Misdemeanor,Violent,Assault,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,617,D Felony,Public Order,Other Public Order,No,,,
2011,2014,White - Non-Hispanic,,35-44,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,3JD,Yes,Parole,617,,,,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,618,D Felony,Drug,Trafficking,No,,,
2011,2014,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,8JD,Yes,Parole,619,,,,Yes,,,
2011,2014,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Public Order,Traffic,Parole,7JD,Yes,Parole,621,Aggravated Misdemeanor,Public Order,Traffic,Yes,,,
2011,2014,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,Interstate Compact,Yes,Parole,622,,,,No,,,
2011,2014,White - Non-Hispanic,,Under 25,C Felony,Property,Burglary,Parole,1JD,Yes,Parole,622,C Felony,Property,Burglary,Yes,,,
2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,623,,,,No,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Public Order,Weapons,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,624,D Felony,Property,Burglary,No,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,626,D Felony,Drug,Drug Possession,No,,,
2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Public Order,Traffic,Parole,5JD,Yes,Parole,627,D Felony,Public Order,Weapons,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,2JD,Yes,Parole,627,B Felony,Drug,Trafficking,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,628,D Felony,Property,Burglary,No,,,
2011,2014,White - Hispanic,,25-34,C Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,629,D Felony,Property,Burglary,No,,,
2011,2014,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,Special Sentence,8JD,Yes,Special Sentence,630,,,,Yes,,,
2011,2014,White - Non-Hispanic,,35-44,C Felony,Public Order,Other Public Order,Parole,Interstate Compact,Yes,Parole,634,,,,Yes,,,
2011,2014,White - Non-Hispanic,,35-44,B Felony,Drug,Trafficking,Parole,7JD,Yes,Parole,635,,,,Yes,,,
2011,2014,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,636,C Felony,Drug,Trafficking,No,,,
2011,2014,Black - Non-Hispanic,,35-44,C Felony,Property,Theft,Parole,6JD,Yes,Parole,637,,,,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,639,Aggravated Misdemeanor,Violent,Assault,No,,,
2011,2014,White - Non-Hispanic,,45-54,D Felony,Violent,Other Violent,Parole,5JD,Yes,Parole,642,,,,Yes,,,
2011,2014,White - Non-Hispanic,,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,644,Aggravated Misdemeanor,Public Order,Weapons,No,,,
2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,2JD,Yes,Parole,644,C Felony,Drug,Trafficking,Yes,,,
2011,2014,Black - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,1JD,Yes,Parole,644,Aggravated Misdemeanor,Violent,Assault,Yes,,,
2011,2014,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,7JD,Yes,Parole,647,,,,Yes,,,
2011,2014,White - Non-Hispanic,,45-54,D Felony,Public Order,OWI,Parole,1JD,Yes,Parole,648,Aggravated Misdemeanor,Public Order,Alcohol,Yes,,,
2011,2014,White - Hispanic,,Under 25,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,648,C Felony,Violent,Assault,No,,,
2011,2014,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,1JD,Yes,Parole,648,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,,,
2011,2014,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,3JD,Yes,Parole,648,D Felony,Drug,Drug Possession,Yes,,,
2011,2014,American Indian or Alaska Native - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,649,D Felony,Violent,Assault,No,,,
2011,2014,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,649,D Felony,Drug,Drug Possession,No,,,
2011,2014,White - Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,651,D Felony,Public Order,Flight/Escape,Yes,,,
2011,2014,White - Non-Hispanic,,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,653,C Felony,Drug,Other Drug,No,,,
2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,659,Aggravated Misdemeanor,Violent,Assault,No,,,
2011,2014,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,659,D Felony,Drug,Trafficking,No,,,
